1786868709	51104	32120028	126	906058	816612	138	13
1786868710	53364	32130704	140	906890	817424	152	13
1786868712	55640	32130480	154	907732	818237	166	14
1786868713	59736	32126388	168	908569	819050	179	14
1786868714	59736	32125916	182	909405	819864	192	14
1786868715	59912	32125916	196	910240	820678	205	14
1786868716	88312	32084800	200	911079	820918	770	14
1786868717	92036	32081020	200	911903	820963	1552	14
1786868718	98000	32071380	200	912726	821012	2325	14
1786868719	101332	32059660	200	913540	821061	3094	14
1786868720	100984	32058152	200	914368	821107	3866	14
1786868721	102272	32056892	200	915198	821151	4642	14
1786868722	109820	32049528	200	915993	821197	5419	14
1786868723	105948	32047512	200	916813	821240	6192	14
1786868724	103348	32047008	200	917641	821280	6975	14
1786868725	103812	32047008	200	918446	821324	7756	14
1786868726	103468	32047008	200	919262	821367	8531	14
1786868727	103684	32047008	200	920084	821414	9308	14
1786868728	101992	32047016	200	920890	821461	10083	14
1786868729	114072	32042920	200	921715	821501	10859	14
1786868731	108860	32041180	200	922535	821550	11630	14
1786868732	107704	32051216	200	923354	821601	12398	14
1786868733	105552	32050716	200	924179	821647	13174	14
1786868734	105476	32049212	200	924994	821690	13950	14
1786868735	106416	32048428	200	925806	821734	14733	14
1786868736	105692	32046920	200	926631	821776	15513	14
1786868737	107400	32055912	200	927463	821818	16291	14
1786868738	106604	32053672	200	928282	821860	17066	14
1786868739	108156	32053428	200	929105	821899	17849	14
1786868740	107700	32050656	200	929921	821937	18633	14
1786868741	106452	32049644	200	930746	821981	19415	14
1786868742	107008	32058596	200	931556	822026	20187	14
1786868743	107752	32056828	200	932383	822073	20959	14
1786868744	108992	32056576	200	933212	822115	21736	14
1786868745	109644	32056080	200	934018	822159	22510	14
1786868746	108588	32055576	200	934831	822199	23290	14
1786868747	107276	32053560	200	935657	822244	24067	14
1786868748	105752	32053308	200	936482	822288	24839	14
1786868749	107592	32059684	200	937305	822335	25611	14
1786868751	107872	32056416	200	938138	822375	26393	14
1786868752	107104	32055440	200	938939	822420	27166	14
1786868753	109756	32053928	200	939763	822460	27952	14
1786868754	109916	32053676	200	940577	822508	28727	14
1786868755	108708	32061372	200	941395	822556	29494	14
1786868756	106796	32061116	200	942220	822604	30266	14
1786868757	106880	32061128	200	943035	822649	31042	14
1786868758	108568	32059364	200	943858	822688	31818	14
1786868759	106796	32057856	200	944663	822740	32590	14
1786868760	108148	32057604	200	945489	822784	33365	14
1786868761	108552	32055088	200	946309	822826	34140	14
1786868762	118976	32050996	200	947124	822871	34920	14
1786868763	108244	32062268	200	947943	822921	35683	14
1786868764	108312	32061268	200	948759	822967	36457	14
1786868765	108496	32058004	200	949585	823011	37230	14
1786868766	109820	32054500	200	950412	823054	38011	14
