1786874214	110828	32079684	126	5297465	3820279	97	5
1786874215	125528	32060276	140	5298300	3821096	108	5
1786874216	125528	32058232	154	5299137	3821914	119	5
1786874217	125736	32052632	168	5299973	3822734	127	5
1786874219	140340	32040344	182	5300812	3823555	135	5
1786874220	146688	32042904	196	5301649	3824376	143	5
1786874221	242592	31950740	200	5302485	3825125	221	5
1786874222	243648	31949488	200	5303315	3825846	326	5
1786874223	245940	31944384	200	5304155	3826569	432	5
1786874224	250572	31940040	200	5304998	3827292	536	5
1786874225	252620	31939532	200	5305834	3828016	642	5
1786874226	252620	31939028	200	5306668	3828740	747	5
1786874227	269468	31921892	200	5307506	3829462	852	5
1786874228	280184	31909104	200	5308346	3830185	957	5
1786874229	282404	31908100	200	5309183	3830907	1061	5
1786874230	284616	31902996	200	5310023	3831629	1166	5
1786874231	288952	31897644	200	5310865	3832352	1272	5
1786874232	299444	31887692	200	5311705	3833074	1376	5
1786874233	299444	31886944	200	5312541	3833796	1482	5
1786874234	299632	31885932	200	5313374	3834519	1586	5
1786874235	326736	31856256	200	5314211	3835241	1692	5
1786874236	329024	31856008	200	5315046	3835962	1796	5
1786874237	329164	31855000	200	5315879	3836684	1902	5
1786874238	331384	31850900	200	5316715	3837406	2006	5
1786874239	331512	31850404	200	5317551	3838130	2112	5
1786874240	331512	31850408	200	5318385	3838852	2216	5
1786874242	331512	31850416	200	5319219	3839574	2321	5
1786874243	331512	31850160	200	5320051	3840296	2426	5
1786874244	331512	31849656	200	5320883	3841018	2531	5
1786874245	331512	31849656	200	5321719	3841741	2637	5
1786874246	331512	31849652	200	5322549	3842463	2741	5
1786874247	331512	31849660	200	5323384	3843183	2846	5
1786874248	331512	31845560	200	5324219	3843905	2951	5
1786874249	331512	31845560	200	5325052	3844627	3056	5
1786874250	331512	31845560	200	5325885	3845350	3161	5
1786874251	333560	31845560	200	5326717	3846071	3267	5
1786874252	333820	31845560	200	5327555	3846793	3371	5
1786874253	333820	31845312	200	5328391	3847514	3477	5
1786874254	333820	31844308	200	5329227	3848236	3581	5
1786874255	333820	31844316	200	5330061	3848959	3687	5
1786874256	333820	31844312	200	5330894	3849682	3791	5
1786874257	340216	31836120	200	5331731	3850402	3896	5
1786874258	340216	31835884	200	5332566	3851125	4001	5
1786874259	340216	31834372	200	5333408	3851848	4107	5
1786874260	340216	31833868	200	5334245	3852570	4211	5
1786874261	337880	31833616	200	5335081	3853293	4316	5
1786874262	337880	31833616	200	5335916	3854016	4421	5
1786874263	337880	31833616	200	5336753	3854738	4526	5
1786874264	337880	31833624	200	5337591	3855461	4631	5
1786874266	337880	31833624	200	5338428	3856184	4736	5
1786874267	337880	31833624	200	5339275	3856905	4841	5
1786874268	337880	31833624	200	5340122	3857628	4946	5
1786874269	337800	31844132	200	5340958	3858350	5052	5
1786874270	337800	31844136	200	5341796	3859073	5156	5
1786874271	337800	31843888	200	5342630	3859795	5261	5
1786874272	337800	31843384	200	5343465	3860518	5367	5
